no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
1,TRUE,0.3,relu,sgd,100,10,81.58298874
2,TRUE,0.3,relu,sgd,100,10,84.90725989
3,TRUE,0.3,relu,sgd,100,10,97.63957777
4,TRUE,0.3,relu,sgd,100,10,68.62314806
5,TRUE,0.3,relu,sgd,100,10,100.6706463
6,TRUE,0.3,relu,sgd,100,10,92.75389661
7,TRUE,0.3,relu,sgd,100,10,80.28463504
8,TRUE,0.3,relu,sgd,100,10,103.1684735
9,TRUE,0.3,relu,sgd,100,10,84.58104585
10,TRUE,0.3,relu,sgd,100,10,
11,TRUE,0.3,relu,sgd,100,10,
1,TRUE,0.3,tanh,sgd,100,10,92.62600186
2,TRUE,0.3,tanh,sgd,100,10,27.82175476
3,TRUE,0.3,tanh,sgd,100,10,43.77893388
4,TRUE,0.3,tanh,sgd,100,10,75.23764399
5,TRUE,0.3,tanh,sgd,100,10,98.15373832
6,TRUE,0.3,tanh,sgd,100,10,87.14566763
7,TRUE,0.3,tanh,sgd,100,10,89.10340681
8,TRUE,0.3,tanh,sgd,100,10,66.16107499
9,TRUE,0.3,tanh,sgd,100,10,84.43819146
10,TRUE,0.3,tanh,sgd,100,10,83.81220406
11,TRUE,0.3,tanh,sgd,100,10,89.33447225
1,TRUE,0.3,sigmoid,sgd,100,10,80.09381605
2,TRUE,0.3,sigmoid,sgd,100,10,43.51938368
3,TRUE,0.3,sigmoid,sgd,100,10,32.83715007
4,TRUE,0.3,sigmoid,sgd,100,10,38.51079509
5,TRUE,0.3,sigmoid,sgd,100,10,84.70179407
6,TRUE,0.3,sigmoid,sgd,100,10,84.79654252
7,TRUE,0.3,sigmoid,sgd,100,10,86.8940514
8,TRUE,0.3,sigmoid,sgd,100,10,96.22501775
9,TRUE,0.3,sigmoid,sgd,100,10,91.79964086
10,TRUE,0.3,sigmoid,sgd,100,10,66.88468973
11,TRUE,0.3,sigmoid,sgd,100,10,81.56020576
1,TRUE,0.3,exponential,sgd,100,10,
2,TRUE,0.3,exponential,sgd,100,10,
3,TRUE,0.3,exponential,sgd,100,10,
4,TRUE,0.3,exponential,sgd,100,10,
5,TRUE,0.3,exponential,sgd,100,10,
6,TRUE,0.3,exponential,sgd,100,10,
7,TRUE,0.3,exponential,sgd,100,10,
8,TRUE,0.3,exponential,sgd,100,10,
9,TRUE,0.3,exponential,sgd,100,10,
10,TRUE,0.3,exponential,sgd,100,10,
11,TRUE,0.3,exponential,sgd,100,10,
1,TRUE,0.3,elu,sgd,100,10,
2,TRUE,0.3,elu,sgd,100,10,
3,TRUE,0.3,elu,sgd,100,10,2.81E+16
4,TRUE,0.3,elu,sgd,100,10,
5,TRUE,0.3,elu,sgd,100,10,
6,TRUE,0.3,elu,sgd,100,10,2.88E+19
7,TRUE,0.3,elu,sgd,100,10,305673.9655
8,TRUE,0.3,elu,sgd,100,10,
9,TRUE,0.3,elu,sgd,100,10,
10,TRUE,0.3,elu,sgd,100,10,
11,TRUE,0.3,elu,sgd,100,10,
1,TRUE,0.3,linear,sgd,100,10,
2,TRUE,0.3,linear,sgd,100,10,
3,TRUE,0.3,linear,sgd,100,10,
4,TRUE,0.3,linear,sgd,100,10,
5,TRUE,0.3,linear,sgd,100,10,
6,TRUE,0.3,linear,sgd,100,10,
7,TRUE,0.3,linear,sgd,100,10,
8,TRUE,0.3,linear,sgd,100,10,
9,TRUE,0.3,linear,sgd,100,10,
10,TRUE,0.3,linear,sgd,100,10,
11,TRUE,0.3,linear,sgd,100,10,
1,True,0.3,relu,sgd,100,10,81.58298873901367
2,True,0.3,relu,sgd,100,10,84.9072598909077
3,True,0.3,relu,sgd,100,10,97.63957776521382
4,True,0.3,relu,sgd,100,10,68.62314806486431
5,True,0.3,relu,sgd,100,10,100.67064626593339
6,True,0.3,relu,sgd,100,10,92.75389661287007
7,True,0.3,relu,sgd,100,10,80.28463504188939
8,True,0.3,relu,sgd,100,10,103.1684734946803
9,True,0.3,relu,sgd,100,10,84.58104585346423
10,True,0.3,relu,sgd,100,10,
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,92.62600185996608
2,True,0.3,tanh,sgd,100,10,27.821754756726715
3,True,0.3,tanh,sgd,100,10,43.77893387643915
4,True,0.3,tanh,sgd,100,10,75.2376439947831
5,True,0.3,tanh,sgd,100,10,98.1537383230109
6,True,0.3,tanh,sgd,100,10,87.14566762823807
7,True,0.3,tanh,sgd,100,10,89.10340680574116
8,True,0.3,tanh,sgd,100,10,66.16107498972039
9,True,0.3,tanh,sgd,100,10,84.43819146407277
10,True,0.3,tanh,sgd,100,10,83.8122040598016
11,True,0.3,tanh,sgd,100,10,89.33447225470292
1,True,0.3,sigmoid,sgd,100,10,80.09381605449475
2,True,0.3,sigmoid,sgd,100,10,43.519383681447884
3,True,0.3,sigmoid,sgd,100,10,32.83715007179662
4,True,0.3,sigmoid,sgd,100,10,38.51079509132787
5,True,0.3,sigmoid,sgd,100,10,84.70179407220138
6,True,0.3,sigmoid,sgd,100,10,84.79654251901727
7,True,0.3,sigmoid,sgd,100,10,86.8940514012387
8,True,0.3,sigmoid,sgd,100,10,96.22501774838096
9,True,0.3,sigmoid,sgd,100,10,91.79964085629112
10,True,0.3,sigmoid,sgd,100,10,66.88468973260177
11,True,0.3,sigmoid,sgd,100,10,81.56020576075504
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,
2,True,0.3,elu,sgd,100,10,
3,True,0.3,elu,sgd,100,10,2.8147505695872916e+16
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,
6,True,0.3,elu,sgd,100,10,2.8823037615171174e+19
7,True,0.3,elu,sgd,100,10,305673.9654605263
8,True,0.3,elu,sgd,100,10,
9,True,0.3,elu,sgd,100,10,
10,True,0.3,elu,sgd,100,10,
11,True,0.3,elu,sgd,100,10,
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,True,0.3,relu,adam,100,10,50.151810093929896
2,True,0.3,relu,adam,100,10,21.97131377772281
3,True,0.3,relu,adam,100,10,17.09272033289859
4,True,0.3,relu,adam,100,10,18.6892348841617
5,True,0.3,relu,adam,100,10,43.85668614036158
6,True,0.3,relu,adam,100,10,33.252558858771074
7,True,0.3,relu,adam,100,10,31.98274261073062
8,True,0.3,relu,adam,100,10,49.34170231066252
9,True,0.3,relu,adam,100,10,25.97707808645148
10,True,0.3,relu,adam,100,10,34.87670627393221
11,True,0.3,relu,adam,100,10,35.27505533318771
1,True,0.3,tanh,adam,100,10,105.66451925980418
