no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
1,True,0.3,relu,sgd,100,10,73.81496308979236
2,True,0.3,relu,sgd,100,10,94.7504718178197
3,True,0.3,relu,sgd,100,10,85.92964774683902
4,True,0.3,relu,sgd,100,10,102.05880054674651
5,True,0.3,relu,sgd,100,10,86.62952945106908
6,True,0.3,relu,sgd,100,10,83.29485300967568
7,True,0.3,relu,sgd,100,10,89.29258768182052
8,True,0.3,relu,sgd,100,10,76.26067733764648
9,True,0.3,relu,sgd,100,10,
10,True,0.3,relu,sgd,100,10,92.39975618061267
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,72.85044820685135
2,True,0.3,tanh,sgd,100,10,101.07831894723992
3,True,0.3,tanh,sgd,100,10,51.61159836618524
4,True,0.3,tanh,sgd,100,10,106.01220743279708
5,True,0.3,tanh,sgd,100,10,87.31028506630345
6,True,0.3,tanh,sgd,100,10,77.33293392783717
7,True,0.3,tanh,sgd,100,10,73.66295182077508
8,True,0.3,tanh,sgd,100,10,81.65646362304688
9,True,0.3,tanh,sgd,100,10,91.85198010896382
10,True,0.3,tanh,sgd,100,10,98.12956117328845
11,True,0.3,tanh,sgd,100,10,91.19701265033923
1,True,0.3,sigmoid,sgd,100,10,96.02049054597553
2,True,0.3,sigmoid,sgd,100,10,33.523018284847865
3,True,0.3,sigmoid,sgd,100,10,26.528382953844574
4,True,0.3,sigmoid,sgd,100,10,20.390430751599762
5,True,0.3,sigmoid,sgd,100,10,91.32065762971577
6,True,0.3,sigmoid,sgd,100,10,85.79386078683953
7,True,0.3,sigmoid,sgd,100,10,88.09586374383224
8,True,0.3,sigmoid,sgd,100,10,91.81906529476768
9,True,0.3,sigmoid,sgd,100,10,87.57584059865852
10,True,0.3,sigmoid,sgd,100,10,80.50170978746917
11,True,0.3,sigmoid,sgd,100,10,85.2112966838636
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,84.76682763350637
2,True,0.3,elu,sgd,100,10,82.57943655315198
3,True,0.3,elu,sgd,100,10,
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,
6,True,0.3,elu,sgd,100,10,387649591188.2105
7,True,0.3,elu,sgd,100,10,6436981.052631579
8,True,0.3,elu,sgd,100,10,5.4493555491183e+17
9,True,0.3,elu,sgd,100,10,7.2057584769840616e+16
10,True,0.3,elu,sgd,100,10,38031941.05263158
11,True,0.3,elu,sgd,100,10,2418111178.105263
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,True,0.3,relu,sgd,100,10,73.81496308979236
2,True,0.3,relu,sgd,100,10,94.7504718178197
3,True,0.3,relu,sgd,100,10,85.92964774683902
4,True,0.3,relu,sgd,100,10,102.05880054674651
5,True,0.3,relu,sgd,100,10,86.62952945106908
6,True,0.3,relu,sgd,100,10,83.29485300967568
7,True,0.3,relu,sgd,100,10,89.29258768182052
8,True,0.3,relu,sgd,100,10,76.26067733764648
9,True,0.3,relu,sgd,100,10,
10,True,0.3,relu,sgd,100,10,92.39975618061267
11,True,0.3,relu,sgd,100,10,
1,True,0.3,tanh,sgd,100,10,72.85044820685135
2,True,0.3,tanh,sgd,100,10,101.07831894723992
3,True,0.3,tanh,sgd,100,10,51.61159836618524
4,True,0.3,tanh,sgd,100,10,106.01220743279708
5,True,0.3,tanh,sgd,100,10,87.31028506630345
6,True,0.3,tanh,sgd,100,10,77.33293392783717
7,True,0.3,tanh,sgd,100,10,73.66295182077508
8,True,0.3,tanh,sgd,100,10,81.65646362304688
9,True,0.3,tanh,sgd,100,10,91.85198010896382
10,True,0.3,tanh,sgd,100,10,98.12956117328845
11,True,0.3,tanh,sgd,100,10,91.19701265033923
1,True,0.3,sigmoid,sgd,100,10,96.02049054597553
2,True,0.3,sigmoid,sgd,100,10,33.523018284847865
3,True,0.3,sigmoid,sgd,100,10,26.528382953844574
4,True,0.3,sigmoid,sgd,100,10,20.390430751599762
5,True,0.3,sigmoid,sgd,100,10,91.32065762971577
6,True,0.3,sigmoid,sgd,100,10,85.79386078683953
7,True,0.3,sigmoid,sgd,100,10,88.09586374383224
8,True,0.3,sigmoid,sgd,100,10,91.81906529476768
9,True,0.3,sigmoid,sgd,100,10,87.57584059865852
10,True,0.3,sigmoid,sgd,100,10,80.50170978746917
11,True,0.3,sigmoid,sgd,100,10,85.2112966838636
1,True,0.3,exponential,sgd,100,10,
2,True,0.3,exponential,sgd,100,10,
3,True,0.3,exponential,sgd,100,10,
4,True,0.3,exponential,sgd,100,10,
5,True,0.3,exponential,sgd,100,10,
6,True,0.3,exponential,sgd,100,10,
7,True,0.3,exponential,sgd,100,10,
8,True,0.3,exponential,sgd,100,10,
9,True,0.3,exponential,sgd,100,10,
10,True,0.3,exponential,sgd,100,10,
11,True,0.3,exponential,sgd,100,10,
1,True,0.3,elu,sgd,100,10,84.76682763350637
2,True,0.3,elu,sgd,100,10,82.57943655315198
3,True,0.3,elu,sgd,100,10,
4,True,0.3,elu,sgd,100,10,
5,True,0.3,elu,sgd,100,10,
6,True,0.3,elu,sgd,100,10,387649591188.2105
7,True,0.3,elu,sgd,100,10,6436981.052631579
8,True,0.3,elu,sgd,100,10,5.4493555491183e+17
9,True,0.3,elu,sgd,100,10,7.2057584769840616e+16
10,True,0.3,elu,sgd,100,10,38031941.05263158
11,True,0.3,elu,sgd,100,10,2418111178.105263
1,True,0.3,linear,sgd,100,10,
2,True,0.3,linear,sgd,100,10,
3,True,0.3,linear,sgd,100,10,
4,True,0.3,linear,sgd,100,10,
5,True,0.3,linear,sgd,100,10,
6,True,0.3,linear,sgd,100,10,
7,True,0.3,linear,sgd,100,10,
8,True,0.3,linear,sgd,100,10,
9,True,0.3,linear,sgd,100,10,
10,True,0.3,linear,sgd,100,10,
11,True,0.3,linear,sgd,100,10,
1,True,0.3,relu,adam,100,10,37.76951840049342
2,True,0.3,relu,adam,100,10,21.56515934592799
3,True,0.3,relu,adam,100,10,20.85386667753521
4,True,0.3,relu,adam,100,10,16.45251791100753
5,True,0.3,relu,adam,100,10,33.391062686317845
6,True,0.3,relu,adam,100,10,32.06681984349301
7,True,0.3,relu,adam,100,10,36.855199914229544
8,True,0.3,relu,adam,100,10,40.21319078144274
9,True,0.3,relu,adam,100,10,30.686101411518298
10,True,0.3,relu,adam,100,10,32.80890404550653
11,True,0.3,relu,adam,100,10,38.70703616895174
1,True,0.3,tanh,adam,100,10,93.91373885305305
2,True,0.3,tanh,adam,100,10,27.478364442524157
3,True,0.3,tanh,adam,100,10,42.01302136872944
4,True,0.3,tanh,adam,100,10,29.062276137502568
5,True,0.3,tanh,adam,100,10,66.47074970446135
6,True,0.3,tanh,adam,100,10,119.1863929346988
7,True,0.3,tanh,adam,100,10,98.36149516858552
