no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
1,False,0.3,relu,adam,100,10,30.065805736340973
2,False,0.3,relu,adam,100,10,25.464833510549443
3,False,0.3,relu,adam,100,10,19.564843729922647
4,False,0.3,relu,adam,100,10,16.169366936934622
5,False,0.3,relu,adam,100,10,15.353165375558953
6,False,0.3,relu,adam,100,10,13.1494914105064
7,False,0.3,relu,adam,100,10,12.364812750565378
8,False,0.3,relu,adam,100,10,16.18988579197934
9,False,0.3,relu,adam,100,10,16.43893984744423
10,False,0.3,relu,adam,100,10,20.55236173930921
11,False,0.3,relu,adam,100,10,13.558720036556846
1,False,0.3,tanh,adam,100,10,26.2423970071893
2,False,0.3,tanh,adam,100,10,17.782340049743652
3,False,0.3,tanh,adam,100,10,25.782956876252825
4,False,0.3,tanh,adam,100,10,29.021723697060033
5,False,0.3,tanh,adam,100,10,22.829637728239362
6,False,0.3,tanh,adam,100,10,20.75102710723877
7,False,0.3,tanh,adam,100,10,17.595299670570775
8,False,0.3,tanh,adam,100,10,25.220746492084704
9,False,0.3,tanh,adam,100,10,22.728034671984222
10,False,0.3,tanh,adam,100,10,18.102632321809466
11,False,0.3,tanh,adam,100,10,16.45069875215229
1,False,0.3,sigmoid,adam,100,10,45.7580051924053
2,False,0.3,sigmoid,adam,100,10,28.318016052246094
3,False,0.3,sigmoid,adam,100,10,33.37407774674265
4,False,0.3,sigmoid,adam,100,10,27.08450954838803
5,False,0.3,sigmoid,adam,100,10,13.97707728335732
6,False,0.3,sigmoid,adam,100,10,20.785776564949437
7,False,0.3,sigmoid,adam,100,10,23.871161009136
8,False,0.3,sigmoid,adam,100,10,27.451928289313067
9,False,0.3,sigmoid,adam,100,10,22.99618314441882
10,False,0.3,sigmoid,adam,100,10,17.42241056341874
11,False,0.3,sigmoid,adam,100,10,16.673457898591693
1,False,0.3,exponential,adam,100,10,28.67405023072895
2,False,0.3,exponential,adam,100,10,20.342785785072728
3,False,0.3,exponential,adam,100,10,15.344741620515522
4,False,0.3,exponential,adam,100,10,15.118729490982858
5,False,0.3,exponential,adam,100,10,18.188786757619756
6,False,0.3,exponential,adam,100,10,11.052795861896715
7,False,0.3,exponential,adam,100,10,11.769799684223376
8,False,0.3,exponential,adam,100,10,21.785516839278372
9,False,0.3,exponential,adam,100,10,18.045774108485173
10,False,0.3,exponential,adam,100,10,16.458487560874538
11,False,0.3,exponential,adam,100,10,8.532958934181615
1,False,0.3,elu,adam,100,10,30.030059814453125
2,False,0.3,elu,adam,100,10,30.36116589997944
3,False,0.3,elu,adam,100,10,11.954625581440173
4,False,0.3,elu,adam,100,10,14.450045008408395
5,False,0.3,elu,adam,100,10,15.82167515001799
6,False,0.3,elu,adam,100,10,23.311205512598942
7,False,0.3,elu,adam,100,10,11.79116816269724
8,False,0.3,elu,adam,100,10,13.112730929726048
