no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
1,TRUE,0.3,relu,adam,100,10,26.64261406
2,TRUE,0.3,relu,adam,100,10,27.31164162
3,TRUE,0.3,relu,adam,100,10,17.73806803
4,TRUE,0.3,relu,adam,100,10,24.32663426
5,TRUE,0.3,relu,adam,100,10,18.13038417
6,TRUE,0.3,relu,adam,100,10,19.0883323
7,TRUE,0.3,relu,adam,100,10,11.60048871
8,TRUE,0.3,relu,adam,100,10,9.946416955
9,TRUE,0.3,relu,adam,100,10,15.62385308
10,TRUE,0.3,relu,adam,100,10,14.71750397
11,TRUE,0.3,relu,adam,100,10,18.14012548
1,TRUE,0.3,tanh,adam,100,10,31.61716301
2,TRUE,0.3,tanh,adam,100,10,23.03169983
3,TRUE,0.3,tanh,adam,100,10,24.36316922
4,TRUE,0.3,tanh,adam,100,10,20.26354599
5,TRUE,0.3,tanh,adam,100,10,27.84523281
6,TRUE,0.3,tanh,adam,100,10,24.85277733
7,TRUE,0.3,tanh,adam,100,10,16.84243759
8,TRUE,0.3,tanh,adam,100,10,29.88990217
9,TRUE,0.3,tanh,adam,100,10,24.04818746
10,TRUE,0.3,tanh,adam,100,10,20.40916112
11,TRUE,0.3,tanh,adam,100,10,11.22106848
1,TRUE,0.3,sigmoid,adam,100,10,29.72349865
2,TRUE,0.3,sigmoid,adam,100,10,21.54244654
3,TRUE,0.3,sigmoid,adam,100,10,24.6053142
4,TRUE,0.3,sigmoid,adam,100,10,25.29790276
5,TRUE,0.3,sigmoid,adam,100,10,21.25048939
6,TRUE,0.3,sigmoid,adam,100,10,21.07893623
7,TRUE,0.3,sigmoid,adam,100,10,31.2485334
8,TRUE,0.3,sigmoid,adam,100,10,24.52740052
9,TRUE,0.3,sigmoid,adam,100,10,17.51823556
10,TRUE,0.3,sigmoid,adam,100,10,20.60765844
11,TRUE,0.3,sigmoid,adam,100,10,20.51245378
1,TRUE,0.3,exponential,adam,100,10,30.09522548
2,TRUE,0.3,exponential,adam,100,10,15.16180021
3,TRUE,0.3,exponential,adam,100,10,17.74307025
4,TRUE,0.3,exponential,adam,100,10,22.98766608
5,TRUE,0.3,exponential,adam,100,10,16.61768838
6,TRUE,0.3,exponential,adam,100,10,15.55867742
7,TRUE,0.3,exponential,adam,100,10,15.86825551
8,TRUE,0.3,exponential,adam,100,10,11.5714615
9,TRUE,0.3,exponential,adam,100,10,9.06395478
10,TRUE,0.3,exponential,adam,100,10,19.21076117
11,TRUE,0.3,exponential,adam,100,10,16.12764333
1,TRUE,0.3,elu,adam,100,10,31.08457505
2,TRUE,0.3,elu,adam,100,10,19.0852368
3,TRUE,0.3,elu,adam,100,10,16.73011981
4,TRUE,0.3,elu,adam,100,10,25.7409022
5,TRUE,0.3,elu,adam,100,10,14.71263183
6,TRUE,0.3,elu,adam,100,10,17.02104127
7,TRUE,0.3,elu,adam,100,10,13.40656918
8,TRUE,0.3,elu,adam,100,10,19.54422449
9,TRUE,0.3,elu,adam,100,10,11.3676542
10,TRUE,0.3,elu,adam,100,10,11.10694268
11,TRUE,0.3,elu,adam,100,10,14.69524346
1,TRUE,0.3,linear,adam,100,10,39.15040006
2,TRUE,0.3,linear,adam,100,10,30.82972311
3,TRUE,0.3,linear,adam,100,10,27.51924515
4,TRUE,0.3,linear,adam,100,10,36.18400252
5,TRUE,0.3,linear,adam,100,10,28.56003872
6,TRUE,0.3,linear,adam,100,10,26.51118299
7,TRUE,0.3,linear,adam,100,10,35.57212112
