no_attrib,pre_process,test_size,activation,optimiser,no_epochs,batch_size,loss
1,raw,0.3,relu,sgd,100,10,73.86808375
2,raw,0.3,relu,sgd,100,10,73.8352107
3,raw,0.3,relu,sgd,100,10,73.848525
4,raw,0.3,relu,sgd,100,10,73.83303813
5,raw,0.3,relu,sgd,100,10,73.87729444
6,raw,0.3,relu,sgd,100,10,73.93401638
7,raw,0.3,relu,sgd,100,10,73.82375757
8,raw,0.3,relu,sgd,100,10,73.85223951
9,raw,0.3,relu,sgd,100,10,73.85248766
10,raw,0.3,relu,sgd,100,10,73.90627329
11,raw,0.3,relu,sgd,100,10,
12,raw,0.3,relu,sgd,100,10,73.91879433
1,raw,0.3,tanh,sgd,100,10,74.52196864
2,raw,0.3,tanh,sgd,100,10,48.15955413
3,raw,0.3,tanh,sgd,100,10,76.17266424
4,raw,0.3,tanh,sgd,100,10,77.73829129
5,raw,0.3,tanh,sgd,100,10,75.21813543
6,raw,0.3,tanh,sgd,100,10,74.50086995
7,raw,0.3,tanh,sgd,100,10,76.64549516
8,raw,0.3,tanh,sgd,100,10,73.93252724
9,raw,0.3,tanh,sgd,100,10,90.67767976
10,raw,0.3,tanh,sgd,100,10,85.4103257
11,raw,0.3,tanh,sgd,100,10,72.70380181
12,raw,0.3,tanh,sgd,100,10,73.81093417
1,raw,0.3,sigmoid,sgd,100,10,74.45756792
2,raw,0.3,sigmoid,sgd,100,10,24.6314377
3,raw,0.3,sigmoid,sgd,100,10,23.40614695
4,raw,0.3,sigmoid,sgd,100,10,33.44504286
5,raw,0.3,sigmoid,sgd,100,10,74.54271718
6,raw,0.3,sigmoid,sgd,100,10,74.23957825
7,raw,0.3,sigmoid,sgd,100,10,74.14124519
8,raw,0.3,sigmoid,sgd,100,10,74.09904801
9,raw,0.3,sigmoid,sgd,100,10,74.30752222
10,raw,0.3,sigmoid,sgd,100,10,73.86989935
11,raw,0.3,sigmoid,sgd,100,10,74.07067128
12,raw,0.3,sigmoid,sgd,100,10,74.52976829
1,raw,0.3,exponential,sgd,100,10,
2,raw,0.3,exponential,sgd,100,10,
3,raw,0.3,exponential,sgd,100,10,
4,raw,0.3,exponential,sgd,100,10,
5,raw,0.3,exponential,sgd,100,10,
6,raw,0.3,exponential,sgd,100,10,
7,raw,0.3,exponential,sgd,100,10,
8,raw,0.3,exponential,sgd,100,10,
9,raw,0.3,exponential,sgd,100,10,
10,raw,0.3,exponential,sgd,100,10,
11,raw,0.3,exponential,sgd,100,10,
12,raw,0.3,exponential,sgd,100,10,
1,raw,0.3,elu,sgd,100,10,74.36385366
2,raw,0.3,elu,sgd,100,10,76.85786117
3,raw,0.3,elu,sgd,100,10,
4,raw,0.3,elu,sgd,100,10,
5,raw,0.3,elu,sgd,100,10,4.05E+16
6,raw,0.3,elu,sgd,100,10,602880043.8
7,raw,0.3,elu,sgd,100,10,
8,raw,0.3,elu,sgd,100,10,1.39152E+12
9,raw,0.3,elu,sgd,100,10,
10,raw,0.3,elu,sgd,100,10,
11,raw,0.3,elu,sgd,100,10,
12,raw,0.3,elu,sgd,100,10,3.02E+23
1,raw,0.3,linear,sgd,100,10,
2,raw,0.3,linear,sgd,100,10,
3,raw,0.3,linear,sgd,100,10,
4,raw,0.3,linear,sgd,100,10,
5,raw,0.3,linear,sgd,100,10,
6,raw,0.3,linear,sgd,100,10,
7,raw,0.3,linear,sgd,100,10,
8,raw,0.3,linear,sgd,100,10,
9,raw,0.3,linear,sgd,100,10,
10,raw,0.3,linear,sgd,100,10,
11,raw,0.3,linear,sgd,100,10,
12,raw,0.3,linear,sgd,100,10,
1,raw,0.3,relu,sgd,100,10,73.80873851
2,raw,0.3,relu,sgd,100,10,73.93141877
3,raw,0.3,relu,sgd,100,10,73.90139831
4,raw,0.3,relu,sgd,100,10,73.80386031
5,raw,0.3,relu,sgd,100,10,73.85495136
6,raw,0.3,relu,sgd,100,10,73.84145395
7,raw,0.3,relu,sgd,100,10,73.85334999
8,raw,0.3,relu,sgd,100,10,73.83536228
9,raw,0.3,relu,sgd,100,10,73.85433056
10,raw,0.3,relu,sgd,100,10,73.82574463
11,raw,0.3,relu,sgd,100,10,73.80881641
12,raw,0.3,relu,sgd,100,10,73.82577836
1,raw,0.3,tanh,sgd,100,10,75.51515218
2,raw,0.3,tanh,sgd,100,10,81.36025318
3,raw,0.3,tanh,sgd,100,10,83.79803828
4,raw,0.3,tanh,sgd,100,10,73.85697355
5,raw,0.3,tanh,sgd,100,10,75.25614206
6,raw,0.3,tanh,sgd,100,10,73.88767785
7,raw,0.3,tanh,sgd,100,10,74.14709091
8,raw,0.3,tanh,sgd,100,10,74.14275159
9,raw,0.3,tanh,sgd,100,10,81.038413
10,raw,0.3,tanh,sgd,100,10,73.90309063
11,raw,0.3,tanh,sgd,100,10,67.1654649
12,raw,0.3,tanh,sgd,100,10,77.40562881
1,raw,0.3,sigmoid,sgd,100,10,74.05901698
2,raw,0.3,sigmoid,sgd,100,10,25.73038262
